svlId,svlRecId,channelId,brdcstType,nwMask,optionMask,serviceType,channelNumber,serviceName,frequency,brdcstMedium,favorites1Index,favorites2Index,favorites3Index,favorites4Index,tslId,tslRecId,nwlId,nwlRecId,satlId,satlRecId,shortName,bandWidth,nwId,onId,tsId,progId,symRate,mod,pol,satRecId,nwName,barkerMask,sdtServiceType,hbbtvStatus,svcProName,mfType,categoryMask
3,131,262273,2,1057295,1536,1,1,TRT1 HD,11794,3,0,0,0,0,3,343,3,7,3,7,,0,1070,1070,43105,10601,30005,2,2,7,TRT,0,25,0,,0,0
3,129,524417,2,1057295,1536,1,2,TRT BELGESEL HD,11054,3,0,0,0,0,3,294,3,7,3,7,,0,1070,1070,31001,10604,30005,2,2,7,TRT,0,25,0,,0,0
3,133,786561,2,1057295,1536,1,3,NTV HD,12015,3,0,0,0,0,3,298,3,9,3,7,,0,1,1070,40601,10806,27492,2,1,7,Dogus Yayin,0,25,0,,0,0
3,248,2097281,2,1057295,1536,1,8,KRT TV HD,12729,3,0,0,0,0,3,323,3,2,3,7,,0,1070,1070,30401,51638,30000,2,2,7,TURKSAT,0,25,0,,0,0
3,152,2359425,2,1057295,1536,1,9,HABER GLOBAL HD,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51819,27500,2,1,7,TURKSAT,0,25,0,,0,0
3,128,2621569,2,1057295,1536,1,10,TLC HD,12015,3,0,0,0,0,3,298,3,9,3,7,,0,1,1070,40601,10819,27492,2,1,7,Dogus Yayin,0,25,0,,0,0
3,136,2883713,2,1057295,1536,1,11,DMAX HD,12015,3,0,0,0,0,3,298,3,9,3,7,,0,1,1070,40601,10815,27492,2,1,7,Dogus Yayin,0,25,0,,0,0
3,164,3145857,2,1057295,1536,1,12,TEVE2 HD,12246,3,0,0,0,0,3,297,3,1,3,7,,0,66,66,7,1703,27500,2,1,7,DEMIROREN MEDYA,1,25,0,,0,0
3,141,3408001,2,1057295,1536,1,13,STAR TV HD,12015,3,0,0,0,0,3,298,3,9,3,7,,0,1,1070,40601,10805,27492,2,1,7,Dogus Yayin,0,25,0,,0,0
3,172,3670145,2,1057295,1536,1,14,24 HD,12311,3,0,0,0,0,3,305,3,25,3,7,,0,1070,1070,41703,16700,15002,2,2,7,TURK MEDYA,0,1,0,,0,0
3,148,3932289,2,1057295,1536,1,15,360 HD,12311,3,0,0,0,0,3,305,3,25,3,7,,0,1070,1070,41703,16701,15002,2,2,7,TURK MEDYA,0,1,0,,0,0
3,149,4194433,2,1057295,1536,1,16,BLOOMBERGHT HD,12210,3,0,0,0,0,3,296,3,27,3,7,,0,1070,1070,41401,11002,10001,2,1,7,,0,25,0,,0,0
3,145,4456577,2,1057295,1536,1,17,CNN TURK HD,12246,3,0,0,0,0,3,297,3,1,3,7,,0,66,66,7,1702,27500,2,1,7,DEMIROREN MEDYA,1,25,0,,0,0
3,135,4718721,2,1057295,1536,1,18,HALK TV HD,12685,3,0,0,0,0,3,302,3,2,3,7,,0,1070,1070,31702,50835,30005,2,2,7,TURKSAT,0,25,0,,0,0
3,134,4980865,2,1057295,1536,1,19,HABERTURK HD,12210,3,0,0,0,0,3,296,3,27,3,7,,0,1070,1070,41401,11001,10001,2,1,7,,0,25,0,,0,0
3,140,5243009,2,1057295,1536,1,20,TV 4 HD,12311,3,0,0,0,0,3,305,3,25,3,7,,0,1070,1070,41703,16702,15002,2,2,7,TURK MEDYA,0,1,0,,0,0
3,137,5505153,2,1057295,1536,1,21,SHOW HD,12210,3,0,0,0,0,3,296,3,27,3,7,,0,1070,1070,41401,11000,10001,2,1,7,,0,25,0,,0,0
3,143,5767297,2,1057295,1536,1,22,TV8 HD,12357,3,0,0,0,0,3,300,3,12,3,7,,0,0,1070,42005,15300,7101,2,1,7,,0,1,0,,0,0
3,165,6291585,2,1057295,1536,1,24,TVNET HD,12214,3,0,0,0,0,3,349,3,16,3,7,,0,1070,1070,41301,12500,5831,2,2,7,TVNET HD,0,1,0,,0,0
3,158,7864449,2,1057295,1536,1,30,TRT2 HD,11958,3,0,0,0,0,3,342,3,7,3,7,,0,1070,1070,40301,10506,27500,2,2,7,TRT,0,25,0,,0,0
3,288,8913025,2,1057295,1536,1,34,TRT WORLD HD,11054,3,0,0,0,0,3,294,3,7,3,7,,0,1070,1070,31001,10605,30005,2,2,7,TRT,0,25,0,,0,0
3,161,9437313,2,1057295,1536,1,36,TV8 5 HD,12357,3,0,0,0,0,3,300,3,12,3,7,,0,0,1070,42005,15301,7101,2,1,7,,0,1,0,,0,0
3,160,10223745,2,1057295,1536,1,39,TV 52,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51821,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,168,10485889,2,1057295,1536,1,40,ORDU ALTAS TV,12685,3,0,0,0,0,3,317,3,2,3,7,,0,1070,1070,31502,51817,27500,2,1,7,TURKSAT,0,1,0,,0,0
3,146,10748033,2,1057295,1536,1,41,TRT 4K,11767,3,0,0,0,0,3,293,0,0,3,7,,0,0,1070,43104,16300,15002,2,2,7,,0,1,0,,0,0
